"Achstattring","A",2,1,1,1,1,"MO"
"Adalbert-Stifter-Str.","C",2,1,1,1,3,"MI"
"Adolph-Kolping-Straße","B",1,1,1,1,4,"DI"
"Ahornweg","A",2,2,2,1,2,"MO"
"Albert-Boßler-Straße","A",2,1,1,1,4,"FR"
"Albert-Schweitzer-Str.","A",2,1,1,1,3,"DO"
"Alfred-Bock-Straße","C",2,1,1,1,3,"MI"
"Alicenstraße 1 - 15","A",2,1,1,1,3,"DO"
"Alicenstraße 16 - Ende","B",1,2,2,1,3,"DI"
"Alicenstraße 17 - Ende","B",1,2,2,1,3,"DI"
"Alicenstraße 2 - 14","A",2,1,1,1,3,"DO"
"Allendoerfer Au","B",1,2,2,1,4,"FR"
"Alte Schulstr.","A",2,2,2,2,1,"MI"
"Altenbergweg","B",1,3,3,1,2,"MO"
"Altenburger Str.","A",2,2,2,2,1,"MI"
"Alten-Busecker-Str.","A",2,2,2,2,1,"MI"
"Altenfeldsweg","B",1,1,1,2,3,"MI"
"Alter Krofdorfer Weg","B",1,3,3,1,2,"MO"
"Alter Steinbacher Weg","C",2,1,1,1,3,"MI"
"Alter Wetzlarer Weg","B",1,1,1,2,4,"DO"
"Am Alten Friedhof","C",2,1,1,1,3,"MI"
"Am Alten Gaswerk","A",2,1,2,1,2,"DO"
"Am Alten Steinbruch","B",1,3,2,1,4,"FR"
"Am Backhaus","B",1,2,2,1,4,"FR"
"Am Bergwald","C",2,2,3,2,3,"MI"
"Am Bergwerkswald","B",1,2,2,1,4,"DI"
"Am Brennofen","A",2,1,2,1,2,"DO"
"Am Eichelbaum","A",2,2,2,2,1,"MI"
"Am Erlenberg","A",2,2,2,2,1,"MI"
"Am Gallichten","B",1,3,2,1,4,"FR"
"Am Güterbahnhof","B",1,1,1,1,3,"DO"
"Am Hellerpfad","B",1,2,2,1,4,"FR"
"Am Hügel","B",1,2,2,1,4,"FR"
"Am Kaiserberg","A",2,3,2,2,1,"MI"
"Am Kasimir","B",1,3,2,1,4,"FR"
"Am Kirschenberg","C",2,2,3,2,3,"MI"
"Am Siegborn","A",2,1,3,1,1,"DO"
"Am Sportplatz","B",1,3,2,1,4,"FR"
"Am Steckelchen","B",1,2,2,1,4,"FR"
"Am Steg","B",1,1,1,2,4,"DO"
"Am Steinkreuz","A",2,2,4,2,1,"MI"
"Am Steinrück","B",1,2,2,1,4,"FR"
"Am Throms Garten","B",1,1,1,1,4,"DI"
"Am Unteren Rain","A",2,1,1,2,3,"MI"
