"Date","grey (eco)","grey (big)","blue","yellow","green","orange","brown","red"
01.01.2014,,,,,,,,
02.01.2014,,,,,"'3'",,,
03.01.2014,,,"'3'",,"'4'",,,
04.01.2014,,,,,,,,
05.01.2014,,,,,,,,
06.01.2014,,,,,,,,
07.01.2014,,"'2'",,"'2'",,"'1'",,
08.01.2014,,,,,,,,
09.01.2014,,,,"'4'",,,,
10.01.2014,,,,,,,,
11.01.2014,,,,,,,,
12.01.2014,,,,,,,,
13.01.2014,,,,"'3'","'2'",,,
14.01.2014,,"'1'","'1'","'1'","'1'","'2'",,
15.01.2014,,,,,"'3'",,,
16.01.2014,,,,,"'4'",,,
17.01.2014,,,,,,,,
18.01.2014,,,,,,,,
19.01.2014,,,,,,,,
20.01.2014,,,"'4'",,,,,"w2"
21.01.2014,"a","'2'","'2'","'2'",,"'3'",,"w1"
22.01.2014,,,,,,,,"w3"
23.01.2014,,,,"'4'",,,,"w4"
24.01.2014,,,,,,,,
25.01.2014,,,,,,,,
26.01.2014,,,,,,,,
27.01.2014,,,,"'3'","'2'",,,
28.01.2014,"b","'1'",,"'1'","'1'","'4'",,
29.01.2014,,,,,"'3'",,,
30.01.2014,,,"'3'",,"'4'",,,
31.01.2014,,,,,,,,
01.02.2014,,,,,,,,
02.02.2014,,,,,,,,
03.02.2014,,,,,,,,
04.02.2014,,"'2'",,"'2'",,"'1'",,
05.02.2014,,,,,,,,
06.02.2014,,,,"'4'",,,,
07.02.2014,,,,,,,,
08.02.2014,,,,,,,,
09.02.2014,,,,,,,,
10.02.2014,,,,"'3'","'2'",,,
11.02.2014,,"'1'","'1'","'1'","'1'","'2'",,
12.02.2014,,,,,"'3'",,,
13.02.2014,,,,,"'4'",,,
14.02.2014,,,,,,,,
15.02.2014,,,,,,,,
16.02.2014,,,,,,,,
17.02.2014,,,"'4'",,,,,
18.02.2014,"a","'2'","'2'","'2'",,"'3'",,
19.02.2014,,,,,,,,
20.02.2014,,,,"'4'",,,,
21.02.2014,,,,,,,,
22.02.2014,,,,,,,,
23.02.2014,,,,,,,,
24.02.2014,,,,"'3'","'2'",,,
25.02.2014,"b","'1'",,"'1'","'1'","'4'",,
